"","date","Total_deaths"
"131",2020-04-28,17
"132",2020-04-30,18
"133",2020-05-01,4
"134",2020-05-02,2
"135",2020-05-03,1
"136",2020-05-04,6
"137",2020-05-05,8
"138",2020-05-06,19
"139",2020-05-07,17
"140",2020-05-08,19
"141",2020-05-15,16
"142",2020-07-07,4
"143",2020-07-08,2
"144",2020-07-09,0
"145",2020-07-10,1
"146",2020-07-11,0
"147",2020-07-12,2
"148",2020-07-13,8
"149",2020-08-22,18
"150",2020-08-24,19
"151",2020-08-27,18
"152",2020-09-01,19
"153",2020-09-08,13
"154",2020-09-17,18
"155",2020-09-18,19
"156",2020-09-20,17
"157",2020-09-29,15
"158",2020-09-30,13
"159",2020-10-07,18
"160",2020-10-09,13
"161",2020-10-10,17
"162",2020-10-13,19
"163",2020-10-17,18
"164",2020-10-24,17
"165",2020-11-09,18
"166",2020-11-10,17
"167",2020-12-28,19
"168",2021-06-17,3
"169",2021-06-18,2
"170",2021-06-19,4
"171",2021-06-20,1
"172",2021-06-21,2
"173",2021-06-22,1
"174",2021-06-23,3
"175",2021-06-24,0
"176",2021-06-25,3
"177",2021-06-26,0
"178",2021-06-27,0
"179",2021-06-28,0
"180",2021-06-29,0
"181",2021-06-30,0
"182",2021-07-01,0
"183",2021-07-02,0
"184",2021-07-03,0
"185",2021-07-04,0
"186",2021-07-05,0
"187",2021-07-06,0
"188",2021-07-07,0
"189",2021-07-08,0
"190",2021-07-09,0
"191",2021-07-10,0
"192",2021-07-11,0
"193",2021-07-12,0
"194",2021-07-13,1
"195",2021-07-14,0
"196",2021-07-15,0
"197",2021-07-16,0
"198",2021-07-17,0
"199",2021-07-18,0
"200",2021-07-19,0
"201",2021-07-20,0
"202",2021-07-21,0
"203",2021-07-22,0
"204",2021-07-23,0
"205",2021-07-24,0
"206",2021-07-25,0
"207",2021-07-26,0
"208",2021-07-27,0
"209",2021-07-28,0
"210",2021-07-29,0
"211",2021-07-30,0
"212",2021-07-31,0
"213",2021-08-01,0
"214",2021-08-02,0
"215",2021-08-03,0
"216",2021-08-04,0
"217",2021-08-05,0
"218",2021-08-06,0
"219",2021-08-07,0
"220",2021-08-08,0
"221",2021-08-09,0
"222",2021-08-10,0
"223",2021-08-11,0
"224",2021-08-12,0
"225",2021-08-13,0
"226",2021-08-14,0
"227",2021-08-15,0
"228",2021-08-16,0
"229",2021-08-17,0
"230",2021-08-18,0
"231",2021-08-19,0
"232",2021-08-20,0
"233",2021-08-21,0
"234",2021-08-22,0
"235",2021-08-23,0
"236",2021-08-24,0
"237",2021-08-25,0
"238",2021-08-26,0
"239",2021-08-27,0
"240",2021-08-28,0
"241",2021-08-29,0
"242",2021-08-30,0
"243",2021-08-31,0
"244",2021-09-01,0
"245",2021-09-02,0
"246",2021-09-03,0
"247",2021-09-04,0
"248",2021-09-05,0
"249",2021-09-06,0
"250",2021-09-07,0
"251",2021-09-08,0
"252",2021-09-09,0
"253",2021-09-10,0
"254",2021-09-11,1
